OA11CD,Median16,Mean16,Min16,Max16,Median17,Mean17,Min17,Max17,LSOA11CD
E00004370,"33.8","44.75","5.725","151","46.775","71.875","11.475","188",E01000889
E00004371,"19.9","40","8.2","152","55.7","61.75","7","200",E01000891
E00004378,"38.81666667","46.75","5.083333333","126.65","42.73333333","55","6.466666667","180",E01000892
E00004379,"50","57.55","4.875","200","57.2","71.875","5.05","225",E01000892
E00004217,"22.26","31.18","2.94","113.84","31.46","39.48","2.44","163.9",E01000859
E00004296,"32.52","42.74","6.8","122.4","33.12","45.5","11.28","160",E01000871
E00004294,"18","28.93333333","4.233333333","120.6666667","20.525","29","3.625","112.125",E01000876
E00004215,"46.45","55.6","3.45","200","60","75.3","5.65","200",E01000857
E00004212,"37.6","51.7375","13.125","163.5","37.0125","55.3375","9.9375","175.5",E01000856
E00004293,"43.55","45.45","3.1","151","46.05","57","5.875","200",E01000876
E00004213,"19.45","33.6375","6.575","100.6375","36.82857143","46.98571429","7.757142857","108.4142857",E01000858
E00004292,"27.35","41.3","5.9","200","41.85","57.7","7.05","250",E01000876
E00004210,"21.55","39.425","9.25","138","33.325","42.875","10.65","150",E01000856
E00004291,"18.61666667","35.31666667","3.1","158.6666667","26.5","53.53333333","3.5","183.3333333",E01000876
E00004218,"46.63333333","52.6","3.533333333","184","55.43333333","63.33333333","2.7","200",E01000857
E00004299,"36.12","47.84","9.88","166.34","35.38","50.66","9.3","175.92",E01000877
E00004219,"29.56666667","44.78888889","5.977777778","142.9555556","33.73333333","49.45555556","6.544444444","168",E01000861
E00004298,"46.5","51.32857143","10.78571429","130.2571429","55.98571429","60.17142857","16.68571429","150",E01000871
E00004526,"26.86666667","38.83333333","10.725","101.4416667","36.68333333","47.51666667","15.19166667","120.4333333",E01000919
E00004524,"21.028","22.816","9.42","51.748","22.02173913","24.49565217","9.182608696","58.21086957",E01000914
E00004523,"19.66666667","27.86666667","6.875","103.575","22.01666667","38.14166667","8.083333333","140.9583333",E01000919
E00004520,"14.82","28.74","5.62","108.06","19.1","36.14","6.72","127.16",E01000917
E00004521,"27.66","35.7","7.833333333","89.69333333","35.97857143","46.65714286","9.928571429","115.7642857",E01000914
E00004528,"29.99285714","42.82142857","10.65","136.3428571","38.1","53.14666667","10.68","160.8066667",E01000918
E00004476,"21.9","40.56","9.16","125.02","30.02","49.1","8.66","145.7",E01000904
E00004477,"23.8","37.63333333","4.455555556","142.4777778","18.98888889","41.32222222","3.233333333","161.6777778",E01000906
